Date,Reel_ID,Category,Hook_Type,Duration_sec,Views,Reach,Likes,Comments,Saves,Shares,Watch_Time_sec,Completion_Rate_pct,Posted_Time,Day
2024-04-08,R1,Action,Shock,22,626000,480000,2300,20,400,150,14.5,72,19:00,Mon
2024-04-08,R2,Drama,Curiosity,18,262000,210000,1200,15,250,100,12.1,68,20:00,Mon
2024-04-09,R3,Thriller,Cliffhanger,20,144000,120000,850,11,150,60,11.4,64,18:30,Tue
2024-04-12,R4,Adventure,Shock,24,158000,135000,900,10,180,80,13.2,70,19:30,Fri
2024-04-10,R5,Comedy,Relatable,15,98000,82000,650,8,120,45,9.5,61,21:00,Wed
2024-04-11,R6,Action,Fast-Paced,17,112000,95000,720,9,140,55,10.2,63,18:00,Thu
2024-04-13,R7,Drama,Emotional,21,134000,110000,800,12,170,70,12.8,69,20:30,Sat
2024-04-14,R8,Thriller,Curiosity,19,121000,100000,780,10,160,65,11.6,66,19:00,Sun
2024-04-15,R9,Action,Shock,23,176000,150000,950,14,210,90,13.9,71,18:45,Mon
2024-04-16,R10,Comedy,Relatable,16,89000,76000,610,7,110,40,9.1,60,21:15,Tue
